LDO,BUY,LIMIT,IOC,2209,1.089596,1.083419,FILLED,847,2209,1723971639306,2406.917564
LIT,BUY,LIMIT,IOC,66.3,0.647,0.639,FILLED,45.2,66.3,1723971640457,42.8961
BTC,BUY,LIMIT,IOC,0.025,59935.28,59697.40,FILLED,0.025,0.025,1723971641090,1498.382
TLM,BUY,LIMIT,IOC,10072,0.0108871,0.0106340,FILLED,584,10072,1723971641098,109.6548712
NOT,BUY,LIMIT,IOC,463,0.0110248,0.0108680,FILLED,463,463,1723971642210,5.1044824
BTC,BUY,LIMIT,IOC,0.003,59937.18,59699.00,FILLED,0.003,0.003,1723971643152,179.81154
RARE,SELL,LIMIT,IOC,17297,0.2820263,0.2863000,FILLED,3653,17297,1723971644408,4878.2089111000005
LISTA,SELL,LIMIT,IOC,460,0.4224593,0.4283000,FILLED,460,460,1723971646494,194.331278
SYN,BUY,LIMIT,IOC,165,0.6931092,0.6819418,FILLED,133,165,1723971647573,114.363018
RARE,SELL,LIMIT,IOC,9961,0.2818145,0.2862000,FILLED,1268,9961,1723971648063,2807.1542345000003
TLM,BUY,LIMIT,IOC,530,0.0109094,0.0107290,FILLED,530,530,1723971648136,5.781982
TLM,BUY,LIMIT,IOC,197348,0.0109775,0.0107542,FILLED,3327,197348,1723971653212,2166.38767
RARE,SELL,LIMIT,IOC,451,0.2818031,0.2857000,FILLED,451,451,1723971657264,127.09319809999998
EDU,SELL,LIMIT,IOC,2736,0.5449157,0.5532000,FILLED,2736,2736,1723971657399,1490.8893552
RARE,SELL,LIMIT,IOC,739,0.2816368,0.2858000,FILLED,739,739,1723971659128,208.1295952
NOT,BUY,LIMIT,IOC,42626,0.0110504,0.0108890,FILLED,42626,42626,1723971661190,471.0343504
BANANA,SELL,LIMIT,IOC,5.2,55.2898282,56.0857500,FILLED,1.1,5.2,1723971661337,287.50710664
RARE,SELL,LIMIT,IOC,819,0.2812004,0.2853000,FILLED,134,819,1723971662049,230.3031276
NOT,BUY,LIMIT,IOC,55265,0.0110552,0.0108980,FILLED,23924,55265,1723971664339,610.9656279999999
NOT,BUY,LIMIT,IOC,109065,0.0110573,0.0108990,FILLED,28312,109065,1723971665406,1205.9644245000002
BANANA,SELL,LIMIT,IOC,4.6,55.1767294,55.6240000,FILLED,4.6,4.6,1723971666063,253.81295523999998
TLM,BUY,LIMIT,IOC,165659,0.0110432,0.0108119,FILLED,13856,165659,1723971666072,1829.4054687999999
